noMovimiento,codigoProducto,descripcionProducto,cantidad,precioUnitario,importe
1,10-04-01-001,Laptop ASUS TUF A15 Gaming i7 NVIDIA 4060,1,25000.0,25000.0
1,05-02-001,Tarjet Gráfica NVIDIA 4070,3,14000.0,42000.0
2,012,PC GAMER i7 RTX3060,2,3000.0,6000.0
2,013,ASUS NoteBook,3,8000.0,24000.0
2,01-008,Laptop Thinkpad E14,2,2000.0,4000.0
3,012,PC GAMER i7 RTX3060,3,3000.0,9000.0
4,012,PC GAMER i7 RTX3060,10,3000.0,30000.0
5,08-8876,Funda para celular con cargador,5,200.0,1000.0
6,10-04-01-001,Laptop ASUS TUF A15 Gaming i7 NVIDIA 4060,4,25000.0,100000.0
7,05-02-001,Tarjet Gráfica NVIDIA 4070,1,14000.0,14000.0
7,10-003,Bocinas,1,15.0,15.0
8,01-002,Laptop LENOVO IdeaPad 3,3,6000.0,18000.0
9,01-002,Laptop LENOVO IdeaPad 3,1,6000.0,6000.0
10,06-003,Modem Telmex,10,500.0,5000.0
10,01-002,Laptop LENOVO IdeaPad 3,20,6000.0,120000.0
11,06-003,Modem Telmex,25,500.0,12500.0
12,06-003,Modem Telmex,10,500.0,5000.0
13,05-001,Impresora LaserYet,1,300.0,300.0
14,05-001,Impresora LaserYet,3,300.0,900.0
15,05-001,Impresora LaserYet,1,300.0,300.0
16,05-001,Impresora LaserYet,1,300.0,300.0
17,10-04-01-001,Laptop ASUS TUF A15 Gaming i7 NVIDIA 4060,2,25000.0,50000.0
18,01-002,Laptop LENOVO IdeaPad 3,1,6000.0,6000.0
18,10-004,Bocinas top,1,3.0,3.0
18,01-007,VivoBook A15,1,7000.0,7000.0
19,01-002,Laptop LENOVO IdeaPad 3,100,6000.0,600000.0
20,015,HP Victus Razen5 AMD RYDON 7600,2,15000.0,30000.0
21,015,HP Victus Razen5 AMD RYDON 7600,10,15000.0,150000.0
